Month,Series ID: TOTAL.ESTCPUS.M Million Kilowatthours
May-22,307105.737
Apr-22,283846.523
Mar-22,303489.97
Feb-22,304272.263
Jan-22,336691.834
Dec-21,306581.232
Nov-21,286359.988
Oct-21,301309.958
Sep-21,336013.3
Aug-21,380398.84
Jul-21,372678.524
Jun-21,337531.739
May-21,289040.976
Apr-21,271622.553
Mar-21,293378.135
Feb-21,298688.281
Jan-21,320935.641
Dec-20,315330.302
Nov-20,277249.201
Oct-20,296876.578
Sep-20,322554.513
Aug-20,368884.504
Jul-20,379530.041
Jun-20,320055.724
May-20,274707.081
Apr-20,262400.562
Mar-20,289893.78
Feb-20,294659.405
Jan-20,315532.79
Dec-19,309822.691
Nov-19,285532.041
Oct-19,308241.206
Sep-19,340462.801
Aug-19,372574.087
Jul-19,376094.821
Jun-19,321461.605
May-19,296801.736
Apr-19,273899.838
Mar-19,301852.693
Feb-19,295797.693
Jan-19,328609.251
Dec-18,312139.711
Nov-18,290507.1
Oct-18,309113.587
Sep-18,337262.549
Aug-18,381130.629
Jul-18,375023.427
Jun-18,338082.985
May-18,303248.008
Apr-18,278467.988
Mar-18,296999.304
Feb-18,292732.286
Jan-18,344477.687
Dec-17,312215.782
Nov-17,283347.001
Oct-17,299539.479
Sep-17,321725.81
Aug-17,360262.619
Jul-17,367613.022
Jun-17,328582.615
May-17,291870.538
Apr-17,272801.158
Mar-17,291443.637
Feb-17,275777.135
Jan-17,318177.179
Dec-16,310722.226
Nov-16,277316.98
Oct-16,296680.671
Sep-16,336752.086
Aug-16,381192.328
Jul-16,372172.268
Jun-16,329877.905
May-16,284707.642
Apr-16,269531.237
Mar-16,285812.359
Feb-16,296805.763
Jan-16,320890.165
Dec-15,297343.556
Nov-15,275916.529
Oct-15,296055.346
Sep-15,332957.875
Aug-15,362031.768
Jul-15,362938.067
Jun-15,326396.898
May-15,288090.699
Apr-15,275475.121
Mar-15,305351.769
Feb-15,306768.44
Jan-15,329666.32
Dec-14,309619.693
Nov-14,285412.583
Oct-14,296679.784
Sep-14,326907.121
Aug-14,351882.992
Jul-14,351523.985
Jun-14,322791.98
May-14,291420.869
Apr-14,275893.667
Mar-14,302388.188
Feb-14,308941.133
Jan-14,341238.272
Dec-13,316474.535
Nov-13,281494.324
Oct-13,294370.259
Sep-13,323477.856
Aug-13,353579.594
Jul-13,358700.928
Jun-13,320200.661
May-13,289398.433
Apr-13,277781.907
Mar-13,297226.031
Feb-13,291480.364
Jan-13,320682.929
Dec-12,297288.124
Nov-12,278211.923
Oct-12,290735.458
Sep-12,318089.708
Aug-12,364784.717
Jul-12,370962.701
Jun-12,325159.869
May-12,296968.169
Apr-12,270759.602
Mar-12,283731.207
Feb-12,286982.924
Jan-12,310975.384
Dec-11,301844.197
Nov-11,275235.164
Oct-11,288132.888
Sep-11,326247.222
Aug-11,372719.828
Jul-11,370691.913
Jun-11,328707.332
May-11,287992.748
Apr-11,275203.878
Mar-11,292051.859
Feb-11,296903.498
Jan-11,334115.653
Dec-10,319047.695
Nov-10,274900.069
Oct-10,287839.796
Sep-10,327742.336
Aug-10,371769.314
Jul-10,369017.719
Jun-10,330893.201
May-10,283729.267
Apr-10,267052.129
Mar-10,292511.351
Feb-10,298459.728
Jan-10,331878.763
Dec-09,310291.05
Nov-09,268157.854
Oct-09,287116.308
Sep-09,310563.306
Aug-09,344845.195
Jul-09,337878.072
Jun-09,305520.47
May-09,275275.977
Apr-09,265463.646
Mar-09,283807.826
Feb-09,286251.463
Jan-09,321623.967
Dec-08,308916.129
Nov-08,278330.41
Oct-08,291762.074
Sep-08,321906.211
Aug-08,351856.428
Jul-08,360426.568
Jun-08,328592.497
May-08,288276.058
Apr-08,277963.417
Mar-08,294625.338
Feb-08,305094.919
Jan-08,326214.571
Dec-07,307704.272
Nov-07,286299.306
Oct-07,307782.649
Sep-07,337524.565
Aug-07,373364.824
Jul-07,352642.316
Jun-07,323006.591
May-07,292800.259
Apr-07,275340.507
Mar-07,291660.348
Feb-07,301331.315
Jan-07,315103.76
Dec-06,300119.157
Nov-06,277181.969
Oct-06,291186.106
Sep-06,317282.1
Aug-06,368633.765
Jul-06,362386.77
Jun-06,321839.89
May-06,287198.134
Apr-06,268208.305
Mar-06,289970.26
Feb-06,281046.416
Jan-06,304865.97
Dec-05,307342.673
Nov-05,274585.467
Oct-05,297626.309
Sep-05,330923.384
Aug-05,362543.685
Jul-05,355514.139
Jun-05,319380.923
May-05,273500.251
Apr-05,264167.936
Mar-05,286791.119
Feb-05,279513.82
Jan-05,309078.809
Dec-04,300049.878
Nov-04,270162.928
Oct-04,281736.725
Sep-04,308565.833
Aug-04,330926.528
Jul-04,333907.044
Jun-04,307772.359
May-04,279035.826
Apr-04,262850.989
Mar-04,278181.558
Feb-04,286433.352
Jan-04,307856.465
Dec-03,293836.142
Nov-03,262976.701
Oct-03,277380.216
Sep-03,306589.904
Aug-03,341819.279
Jul-03,334208.693
Jun-03,290449.882
May-03,268788.091
Apr-03,256709.985
Mar-03,274473.419
Feb-03,282239.575
Jan-03,304262.598
Dec-02,286462.396
Nov-02,263033.589
Oct-02,284177.962
Sep-02,310497.883
Aug-02,338114.518
Jul-02,337284.677
Jun-02,296469.772
May-02,269323.294
Apr-02,257946.375
Mar-02,267459.8
Feb-02,263728.263
Jan-02,290967.48
Dec-01,268537.986
Nov-01,252942.727
Oct-01,267596.285
Sep-01,296041.656
Aug-01,332255.823
Jul-01,315850.139
Jun-01,289979.394
May-01,264442.405
Apr-01,254326.33
Mar-01,269315.107
Feb-01,272323.83
Jan-01,310846.421
Dec-00,291987.898
Nov-00,264121.026
Oct-00,272835.179
Sep-00,303693.32
Aug-00,330732.529
Jul-00,317565.787
Jun-00,299764.579
May-00,269262.746
Apr-00,249174.832
Mar-00,262417.839
Feb-00,272095.018
Jan-00,287763.515
Dec-99,270731.591
Nov-99,252528.86
Oct-99,265399.216
Sep-99,294798.165
Aug-99,322980.268
Jul-99,324314.733
Jun-99,284733.464
May-99,254356.426
Apr-99,246787.821
Mar-99,260773.276
Feb-99,251149.849
Jan-99,283533.411
Dec-98,267385.92
Nov-98,250014.477
Oct-98,266302.938
Sep-98,297097.244
Aug-98,318654.695
Jul-98,313522.172
Jun-98,283992.729
May-98,253680.491
Apr-98,239545.25
Mar-98,253675.491
Feb-98,249259.917
Jan-98,271099.43
Dec-97,264300.274
Nov-97,246559.885
Oct-97,262862.992
Sep-97,278716.574
Aug-97,294364.83
Jul-97,296258.067
Jun-97,261422.618
May-97,236772.863
Apr-97,234755.464
Mar-97,243552.467
Feb-97,250778.273
Jan-97,275266.112
Dec-96,258019.09
Nov-96,240791.963
Oct-96,245231.826
Sep-96,268016.242
Aug-96,289872.897
Jul-96,285970.643
Jun-96,265900.884
May-96,239667.208
Apr-96,230337.355
Mar-96,249033.173
Feb-96,256103.973
Jan-96,272181.765
Dec-95,252881.963
Nov-95,235478.586
Oct-95,241052.559
Sep-95,265986.022
Aug-95,298999.754
Jul-95,281546.274
Jun-95,255009.917
May-95,229588.579
Apr-95,221858.659
Mar-95,236465.206
Feb-95,239138.569
Jan-95,255280.501
Dec-94,243219.407
Nov-94,226527.58
Oct-94,233755.193
Sep-94,254884.234
Aug-94,272838.916
Jul-94,278007.365
Jun-94,252721.089
May-94,222049.289
Apr-94,220068.418
Mar-94,231781.978
Feb-94,238851.78
Jan-94,259857.615
Dec-93,241322.224
Nov-93,222940.959
Oct-93,228327.168
Sep-93,252687.495
Aug-93,273829.759
Jul-93,270211.02
Jun-93,237348.981
May-93,214565.017
Apr-93,215829.241
Mar-93,232674.669
Feb-93,228478.474
Jan-93,243247.333
Dec-92,236066.451
Nov-92,218506.162
Oct-92,224791.93
Sep-92,239990.416
Aug-92,252990.27
Jul-92,253088.372
Jun-92,227278.846
May-92,213685.272
Apr-92,211961.889
Mar-92,220009.053
Feb-92,226232.997
Jan-92,238763.788
Dec-91,227856.737
Nov-91,216712.435
Oct-91,221557.126
Sep-91,244419.402
Aug-91,258199.158
Jul-91,256933.152
Jun-91,237962.575
May-91,217318.019
Apr-91,206371.295
Mar-91,214226.36
Feb-91,219193.677
Jan-91,241253.104
Dec-90,222881.538
Nov-90,209915.55
Oct-90,222300.648
Sep-90,245079.513
Aug-90,252065.399
Jul-90,251533.156
Jun-90,226986.083
May-90,208222.226
Apr-90,205165.163
Mar-90,214120.096
Feb-90,213403.966
Jan-90,240881.327
Dec-89,230848.961
Nov-89,205737.59
Oct-89,211493.549
Sep-89,231944.258
Aug-89,243644.17
Jul-89,240292.519
Jun-89,221786.266
May-89,201923.138
Apr-89,201925.084
Mar-89,216617.827
Feb-89,214979.35
Jan-89,225616.62
Dec-88,215998.919
Nov-88,199125.681
Oct-88,205505.011
Sep-88,226305.325
Aug-88,250489.194
Jul-88,237528.931
Jun-88,212998.244
May-88,191480.261
Apr-88,192616.205
Mar-88,205160.422
Feb-88,215080.697
Jan-88,225773.605
Dec-87,204995.148
Nov-87,190326.014
Oct-87,197233.528
Sep-87,216522.623
Aug-87,235513.081
Jul-87,229302.521
Jun-87,207917.428
May-87,189107.152
Apr-87,184761.197
Mar-87,193654.772
Feb-87,198217.944
Jan-87,209720.811
Dec-86,200969.214
Nov-86,181790.958
Oct-86,194192.802
Sep-86,204297.256
Aug-86,218394.066
Jul-86,219272.37
Jun-86,197388.693
May-86,179570.221
Apr-86,178470.133
Mar-86,188990.1
Feb-86,195153.731
Jan-86,210263.508
Dec-85,198299.464
Nov-85,180229.353
Oct-85,184730.409
Sep-85,206261.505
Aug-85,210659.871
Jul-85,205200.802
Jun-85,190305.001
May-85,178781.45
Apr-85,178530.004
Mar-85,186112.884
Feb-85,202266.299
Jan-85,202596.81
Dec-84,187537.204
Nov-84,178588.865
Oct-84,182285.344
Sep-84,199021.37
Aug-84,209045.694
Jul-84,204473.661
Jun-84,189758.447
May-84,175542.351
Apr-84,175350.115
Mar-84,186072.361
Feb-84,190869.475
Jan-84,207251.507
Dec-83,185428.408
Nov-83,170473.691
Oct-83,176307.148
Sep-83,201922.127
Aug-83,208115.006
Jul-83,194153.338
Jun-83,171604.279
May-83,158919.003
Apr-83,163807.406
Mar-83,167583.542
Feb-83,173464.871
Jan-83,179175.753
Dec-82,170278.534
Nov-82,160479.567
Oct-82,163416.303
Sep-82,178295.927
Aug-82,189740.405
Jul-82,183566.97
Jun-82,168739.125
May-82,158569.4
Apr-82,164511.66
Mar-82,173959.12
Feb-82,182805.174
Jan-82,192079.166
Dec-81,175705.384
Nov-81,165016.324
Oct-81,171349.69
Sep-81,186250.025
Aug-81,198459.287
Jul-81,197814.44
Jun-81,178827.384
May-81,163172.827
Apr-81,163524.824
Mar-81,172826.352
Feb-81,182207.239
Jan-81,191949.087
Dec-80,175607
Nov-80,162174
Oct-80,170080
Sep-80,190139
Aug-80,196464
Jul-80,185882
Jun-80,164872
May-80,154851
Apr-80,161701
Mar-80,174373
Feb-80,178721
Jan-80,179585
Dec-79,169473
Nov-79,162271
Oct-79,165948
Sep-79,179640
Aug-79,187309
Jul-79,178339
Jun-79,166860
May-79,159551
Apr-79,161557
Mar-79,173249
Feb-79,181515
Jan-79,185387
Dec-78,168709
Nov-78,159126
Oct-78,166722
Sep-78,182638
Aug-78,184223
Jul-78,179114
Jun-78,165519
May-78,151504
Apr-78,150385
Mar-78,163406
Feb-78,169927
Jan-78,176649
Dec-77,162175.391
Nov-77,151312.143
Oct-77,159348.318
Sep-77,172261.551
Aug-77,178590.072
Jul-77,174997.802
Jun-77,159294.092
May-77,148602.006
Apr-77,147926.369
Mar-77,156204.425
Feb-77,165298.16
Jan-77,172350.883
Dec-76,162766.107
Nov-76,150740.813
Oct-76,150984.548
Sep-76,164411.861
Aug-76,168630.829
Jul-76,163006.465
Jun-76,149038.662
May-76,141804.01
Apr-76,142310.388
Mar-76,147464.833
Feb-76,153548.606
Jan-76,160538.972
Dec-75,147652.655
Nov-75,139259.589
Oct-75,141817.659
Sep-75,157741.267
Aug-75,160901.832
Jul-75,154204.005
Jun-75,142995.634
May-75,133567.894
Apr-75,135833.27
Mar-75,140749.395
Feb-75,142973.173
Jan-75,149394.254
Dec-74,140851.656
Nov-74,135783.782
Oct-74,141355.276
Sep-74,153619.101
Aug-74,158112.467
Jul-74,151511.234
Jun-74,141930.937
May-74,133077.165
Apr-74,133007.088
Mar-74,135951.806
Feb-74,136737.112
Jan-74,143986.102
Dec-73,137199.026
Nov-73,138141.74
Oct-73,146041.974
Sep-73,157309.577
Aug-73,157480.821
Jul-73,152562.168
Jun-73,140293.003
May-73,131360.946
Apr-73,131365.928
Mar-73,137102.316
Feb-73,139546.088
Jan-73,144505.194
